date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:40	43849/43849	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:40%20GMT	https://esportstemplate.webflow.io/sponsors	D:/Websites/fragsyncop/esportstemplate.webflow.io/sponsors.html	(from )
19:12:41	20/20	---M-Z	200	added ('OK')	text/plain	date:Thu,%2002%20Nov%202023%2013:42:41%20GMT	https://esportstemplate.webflow.io/robots.txt		(from )
19:12:41	73735/73735	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:41%20GMT	https://esportstemplate.webflow.io/home	D:/Websites/fragsyncop/esportstemplate.webflow.io/home.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:41	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:41%20GMT	https://esportstemplate.webflow.io/shop	D:/Websites/fragsyncop/esportstemplate.webflow.io/shop	(from https://esportstemplate.webflow.io/sponsors)
19:12:41	60211/60211	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:41%20GMT	https://esportstemplate.webflow.io/about	D:/Websites/fragsyncop/esportstemplate.webflow.io/about.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:41	13188/13188	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/Websites/fragsyncop/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://esportstemplate.webflow.io/sponsors)
19:12:41	198080/198080	U-----	200	untouched ('OK')	text/css	etag:%22868c2d5a31b4d189c63dbc8b35b03269%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/css/fragsync.css	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/css/fragsync.css	(from https://esportstemplate.webflow.io/sponsors)
19:12:42	51676/51676	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:42%20GMT	https://esportstemplate.webflow.io/team	D:/Websites/fragsyncop/esportstemplate.webflow.io/team.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:42	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:42%20GMT	https://esportstemplate.webflow.io/team/john-carter	D:/Websites/fragsyncop/esportstemplate.webflow.io/team/john-carter	(from https://esportstemplate.webflow.io/sponsors)
19:12:42	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:42%20GMT	https://esportstemplate.webflow.io/blog	D:/Websites/fragsyncop/esportstemplate.webflow.io/blog	(from https://esportstemplate.webflow.io/sponsors)
19:12:43	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:42%20GMT	https://esportstemplate.webflow.io/article/our-new-branded-headphones-are-now-for-sale	D:/Websites/fragsyncop/esportstemplate.webflow.io/article/our-new-branded-headphones-are-now-for-sale	(from https://esportstemplate.webflow.io/sponsors)
19:12:43	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:43%20GMT	https://esportstemplate.webflow.io/product/esports-team-shirt-black-line	D:/Websites/fragsyncop/esportstemplate.webflow.io/product/esports-team-shirt-black-line	(from https://esportstemplate.webflow.io/sponsors)
19:12:43	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:43%20GMT	https://esportstemplate.webflow.io/contact	D:/Websites/fragsyncop/esportstemplate.webflow.io/contact	(from https://esportstemplate.webflow.io/sponsors)
19:12:44	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:43%20GMT	https://esportstemplate.webflow.io/utility-pages/style-guide	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/style-guide	(from https://esportstemplate.webflow.io/sponsors)
19:12:44	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:44%20GMT	https://esportstemplate.webflow.io/utility-pages/start-here	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/start-here	(from https://esportstemplate.webflow.io/sponsors)
19:12:44	21336/21336	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:44%20GMT	https://esportstemplate.webflow.io/404	D:/Websites/fragsyncop/esportstemplate.webflow.io/404.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:44	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:44%20GMT	https://esportstemplate.webflow.io/utility-pages/licenses	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/licenses	(from https://esportstemplate.webflow.io/sponsors)
19:12:45	21422/21422	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2002%20Nov%202023%2013:42:44%20GMT	https://esportstemplate.webflow.io/401	D:/Websites/fragsyncop/esportstemplate.webflow.io/401.html	(from https://esportstemplate.webflow.io/sponsors)
19:12:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:44%20GMT	https://esportstemplate.webflow.io/utility-pages/changelog	D:/Websites/fragsyncop/esportstemplate.webflow.io/utility-pages/changelog	(from https://esportstemplate.webflow.io/sponsors)
19:12:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Nov%202023%2013:42:45%20GMT	https://esportstemplate.webflow.io/checkout	D:/Websites/fragsyncop/esportstemplate.webflow.io/checkout	(from https://esportstemplate.webflow.io/sponsors)
19:12:46	88348/88348	U-----	200	untouched ('')	image/jpeg	etag:%22ad915469a7221388a1cd4037a96ec704%22	https://assets-global.website-files.com/60358955e12a8a2413b99edc/603810f50c0e56435c5367de_bg-blog-hero-esports-template.jpg	D:/Websites/fragsyncop/assets-global.website-files.com/60358955e12a8a2413b99edc/603810f50c0e56435c5367de_bg-blog-hero-esports-template.jpg	(from https://esportstemplate.webflow.io/sponsors)
